"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*04lgp*","Bobby Witt Jr.","KC","SS","2","FA","","100","100%","0%","624","189","50","30","37",".360","175","158"
"*01ub6*","Jose Ramirez","CLE","3B","4","FA","","98.33","100%","0%","599","168","39","31","42",".352","162","157"
"*05udp*","Elly De La Cruz","CIN","SS","5","FA","","96.49","100%","0%","623","161","40","25","43",".334","165","159"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","6","FA","","96.05","100%","0%","601","175","36","51","23",".392","194","152"
"*04y4e*","Corbin Carroll","ARI","OF","11","FA","","91.85","99%","0%","550","141","41","27","33",".343","157","143"
"*051wv*","Pete Crow-Armstrong","CHC","OF","19","FA","","88.72","100%","0%","584","142","40","25","36",".296","149","155"
"*050w9*","Gunnar Henderson","BAL","SS","20","FA","","88.43","100%","0%","599","164","37","26","25",".352","164","155"
"*02z0s*","Aaron Judge","NYY","OF","21","FA","@SF Wed 8:05PM","88.4","100%","0%","545","168","32","53","11",".444","205","152"
"*04fhb*","Julio Rodriguez","SEA","OF","24","FA","","88.1","100%","0%","628","171","30","28","30",".329","168","156"
"*03ynj*","Juan Soto","NYM","OF","25","FA","","88.03","100%","0%","562","157","27","42","19",".422","188","157"
"*03zbh*","Fernando Tatis Jr.","SD","OF","27","FA","","87.15","100%","0%","591","160","33","27","28",".355","155","150"
"*03pir*","Kyle Tucker","LAD","OF","29","FA","","86.48","100%","0%","530","143","30","33","25",".374","156","143"
"*02611*","Francisco Lindor","NYM","SS","33","FA","","85.69","99%","0%","563","149","33","27","26",".345","155","144"
"*04pst*","Jarren Duran","BOS","OF","34","FA","","85.47","100%","0%","612","163","57","17","24",".337","156","155"
"*02c68*","Trea Turner","PHI","SS","36","FA","","85.36","99%","0%","602","171","36","18","33",".335","145","140"
"*05m1e*","Jackson Chourio","MIL","OF","37","FA","","85.21","100%","0%","587","161","37","23","25",".323","166","147"
"*05xu5*","Zach Neto","LAA","SS","40","FA","","84.46","100%","0%","553","140","33","27","31",".325","133","141"
"*040b5*","Randy Arozarena","SEA","OF","45","FA","","83.57","99%","0%","591","136","31","23","30",".338","150","155"
"*04my4*","Cal Raleigh","SEA","C","50","FA","","82.95","100%","0%","573","135","22","44","13",".338","172","155"
"*04qk8*","CJ Abrams","WSH","SS","52","FA","","82.75","100%","0%","569","144","37","19","32",".317","132","147"
"*062k5*","Nick Kurtz","ATH","1B","57","FA","","82.1","100%","0%","552","145","37","42","2",".357","171","147"
"*05rat*","James Wood","WSH","OF","59","FA","","81.52","100%","0%","581","152","38","26","17",".358","142","162"
"*02mwm*","Matt Olson","ATL","1B","68","FA","","80.08","100%","0%","616","163","39","32","1",".360","171","161"
"*03cag*","Kyle Schwarber","PHI","OF,UT","70","FA","","79.81","100%","0%","578","138","24","43","8",".367","186","160"
"*01svq*","Manny Machado","SD","3B","71","FA","","79.73","99%","0%","604","165","31","29","13",".332","161","154"
"*04b00*","Brice Turang","MIL","2B","72","FA","","79.54","99%","0%","588","155","29","14","33",".336","146","157"
"*04e2u*","Brent Rooker","ATH","OF,UT","75","FA","","79.12","100%","0%","586","159","36","35","6",".348","150","154"
