"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","IP","W","ERA","WHIP","K","SVH","GP"
"*04ptt*","Tarik Skubal","DET","SP","1","FA","","100","100%","0%","196","17","2.76","0.944","246","0","32"
"*05wru*","Paul Skenes","PIT","SP","3","FA","","98.4","100%","0%","190","16","2.61","1.000","218","0","32"
"*02yc4*","Shohei Ohtani","LAD","UT,SP","6","FA","","96.05","100%","0%","148","12","3.28","1.047","190","0","152"
"*05ajh*","Garrett Crochet","BOS","SP","7","FA","","96.01","100%","0%","206","16","3.28","1.063","253","0","32"
"*052c8*","Cristopher Sanchez","PHI","SP","8","FA","","95.54","100%","0%","196","16","3.08","1.092","198","0","32"
"*04eor*","Cade Smith","CLE","RP","9","FA","","94.06","99%","0%","70","5","2.70","0.986","94","43","74"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","10","FA","","92.28","100%","0%","178","14","3.19","1.084","198","0","30"
"*02my5*","Edwin Diaz","LAD","RP","12","FA","","91.72","99%","0%","68","5","2.91","0.956","95","38","62"
"*05ucd*","Mason Miller","SD","RP","13","FA","","91.64","100%","0%","61","4","3.10","0.967","96","41","58"
"*01uca*","Chris Sale","ATL","SP","14","FA","","91.13","100%","0%","153","13","3.12","1.065","190","0","26"
"*02i2j*","Max Fried","NYY","SP","15","FA","@SF Wed 8:05PM","90.57","100%","0%","187","15","3.18","1.139","176","0","31"
"*0317q*","Griffin Jax","TB","RP","16","FA","","90.35","89%","+1%","65","4","3.18","1.062","79","45","73"
"*04n0m*","Logan Gilbert","SEA","SP","17","FA","","89.32","99%","0%","178","13","3.54","1.039","203","0","31"
"*05y62*","Bryan Woo","SEA","SP","18","FA","","89.16","100%","0%","183","13","3.39","1.027","180","0","31"
"*03dbm*","Logan Webb","SF","SP","22","FA","NYY Wed 8:05PM","88.2","100%","0%","202","14","3.30","1.168","189","0","33"
"*04apj*","Jhoan Duran","PHI","RP","23","FA","","88.1","99%","0%","69","4","3.13","1.072","85","39","69"
"*01gya*","Aroldis Chapman","BOS","RP","26","FA","","87.77","99%","0%","58","4","2.95","1.069","86","37","65"
"*05rb3*","Chase Burns","CIN","SP","28","FA","","87.13","100%","0%","142","11","3.17","1.042","173","0","26"
"*0311c*","Devin Williams","NYM","RP","30","FA","","86.44","98%","0%","65","4","3.05","1.108","96","35","68"
"*02bqr*","Blake Snell","LAD","SP","31","FA","","85.86","98%","0%","139","11","3.11","1.151","189","0","26"
"*04aqc*","David Bednar","NYY","RP","32","FA","@SF Wed 8:05PM","85.83","98%","0%","61","4","3.39","1.098","80","40","66"
"*05144*","Hunter Brown","HOU","SP","35","FA","","85.39","100%","0%","188","13","3.54","1.176","198","0","31"
"*0403o*","Andres Munoz","SEA","RP","38","FA","","85.03","99%","0%","58","4","3.10","1.121","78","37","62"
"*04tlv*","Bryan Abreu","HOU","RP","39","FA","","84.54","90%","+1%","71","4","3.42","1.183","98","40","71"
"*04auj*","Framber Valdez","DET","SP","41","FA","","84.44","99%","0%","196","14","3.49","1.214","187","0","31"
"*02n96*","Josh Hader","HOU","RP","42","FA","","84.17","98%","0%","53","3","3.23","1.000","80","35","53"
"*02hi7*","Kevin Gausman","TOR","SP","43","FA","","84.09","99%","0%","187","13","3.61","1.171","188","0","31"
"*02hjp*","Jacob deGrom","TEX","SP","44","FA","","84","99%","0%","155","11","3.48","1.045","168","0","28"
"*041ma*","Cole Ragans","KC","SP","46","FA","","83.47","99%","0%","143","10","3.46","1.105","191","0","26"
"*01sb3*","Zack Wheeler","PHI","SP","47","FA","","83.25","99%","0%","127","10","3.26","1.024","153","0","20"
"*03aqv*","Raisel Iglesias","ATL","RP","48","FA","","83.25","97%","0%","70","4","3.34","1.043","79","33","68"
"*04yie*","George Kirby","SEA","SP","49","FA","","82.97","100%","0%","176","12","3.68","1.097","173","0","31"
"*02bu3*","Brandon Woodruff","MIL","SP","51","FA","","82.82","99%","0%","146","11","3.51","1.089","164","0","26"
"*041r1*","Jesus Luzardo","PHI","SP","53","FA","","82.64","100%","0%","180","12","3.70","1.178","212","0","32"
"*05nso*","Abner Uribe","MIL","RP","54","FA","","82.63","90%","-1%","70","4","3.09","1.186","77","37","73"
"*0260v*","Sonny Gray","BOS","SP","55","FA","","82.36","99%","0%","180","13","3.75","1.178","195","0","31"
"*01ut7*","Nathan Eovaldi","TEX","SP","56","FA","","82.33","99%","0%","151","11","3.34","1.079","146","0","26"
"*0316j*","Nick Pivetta","SD","SP","58","FA","","81.62","99%","0%","172","11","3.72","1.128","190","0","30"
"*04eee*","Drew Rasmussen","TB","SP","60","FA","","81.51","99%","0%","163","12","3.42","1.129","147","0","30"
"*03dc4*","Freddy Peralta","NYM","SP","61","FA","","81.36","99%","0%","174","12","3.67","1.201","197","0","32"
"*03nuc*","Luis Castillo","SEA","SP","62","FA","","81.31","99%","0%","180","12","3.70","1.161","177","0","31"
"*05r01*","Robert Suarez","ATL","RP","63","FA","","81.24","92%","-1%","66","4","3.41","1.106","63","37","67"
"*04ps7*","Joe Ryan","MIN","SP","64","FA","","81.01","100%","0%","167","11","3.77","1.096","185","0","30"
"*04eqa*","Garrett Whitlock","BOS","RP","65","FA","","80.9","66%","-1%","68","4","3.18","1.147","73","33","59"
"*04ehz*","Jeremiah Estrada","SD","RP","66","FA","","80.86","70%","-1%","69","4","3.52","1.130","101","30","74"
"*04pq4*","Kyle Bradish","BAL","SP","67","FA","","80.32","99%","0%","142","10","3.42","1.141","163","0","26"
"*05143*","Hunter Gaddis","CLE","RP","69","FA","","79.96","52%","-3%","70","4","3.34","1.129","67","34","73"
"*066n3*","Ryan Walker","SF","RP","73","FA","NYY Wed 8:05PM","79.49","88%","0%","65","4","3.18","1.108","72","28","64"
"*02nax*","Matt Strahm","KC","RP","74","FA","","79.35","50%","-1%","67","4","2.96","1.030","77","22","65"
"*031cy*","Emilio Pagan","CIN","RP","78","FA","","78.85","95%","0%","64","3","3.52","1.109","71","35","67"
"*0374m*","Tyler Rogers","TOR","RP","85","FA","","77.45","51%","-1%","69","4","3.26","1.130","51","33","75"
"*04q05*","Alex Vesia","LAD","RP","87","FA","","77.41","51%","-2%","61","3","3.39","1.082","79","26","69"
"*03df2*","Dylan Cease","TOR","SP","88","FA","","77.37","99%","0%","171","11","3.79","1.228","205","0","32"
"*025it*","Jason Adam","SD","RP","89","FA","","77.34","49%","-3%","59","3","3.20","1.102","67","28","62"
