,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Tarik Skubal,,29,DET,SP,,$49,$49,$30,$30,7,13.0,14.9,15,0,237,2.75,0.95,,,,,,,
,,,Shohei Ohtani,,31,LAD,DH,SP,$46,$46,$47,$47,1,11.4,13.5,.390,46,31,192,24,,,,,,,
,,,Bobby Witt Jr.,,25,KC,SS,,$40,$40,$31,$31,3,8.8,11.8,.348,28,44,157,33,,,,,,,
,,,Paul Skenes,,23,PIT,SP,,$38,$38,$23,$23,11,9.5,11.5,14,0,223,2.86,1.04,,,,,,,
,,,Garrett Crochet,,26,BOS,SP,,$38,$38,$22,$22,14,9.5,11.4,14,0,234,2.96,1.04,,,,,,,
,,,José Ramírez,,33,CLE,3B,,$37,$37,$23,$23,5,6.4,10.9,.357,28,35,149,31,,,,,,,
,,,Corbin Carroll,Inj,25,ARI,OF,,$37,$37,$21,$21,17,8.2,10.8,.353,27,40,160,34,,,,,,,
,,,Juan Soto,,27,NYM,OF,,$36,$36,$30,$30,4,7.8,10.4,.414,36,25,163,23,,,,,,,
,,,Aaron Judge,,33,NYY,OF,,$34,$34,$38,$38,2,7.3,9.9,.419,43,25,165,9,,,,,,,
,,,Vladimir Guerrero Jr.,,26,TOR,1B,,$33,$33,$22,$22,16,5.1,9.5,.380,31,33,157,5,,,,,,,
,,,Elly De La Cruz,,24,CIN,SS,,$32,$32,$20,$20,8,6.4,9.4,.341,24,36,152,40,,,,,,,
,,,Gunnar Henderson,,24,BAL,SS,,$30,$30,$21,$21,13,5.8,8.8,.350,27,38,151,23,,,,,,,
,,,Freddie Freeman,,36,LAD,1B,,$28,$28,$14,$14,50,3.9,8.3,.384,22,35,145,7,,,,,,,
,,,Bryan Woo,,26,SEA,SP,,$28,$28,$16,$16,42,6.6,8.6,13,0,184,3.28,1.03,,,,,,,
,,,Cristopher Sánchez,,29,PHI,SP,,$27,$27,$14,$14,29,6.2,8.1,14,0,191,3.18,1.11,,,,,,,
,,,Logan Webb,,29,SF,SP,,$25,$25,$12,$12,46,5.6,7.5,14,0,197,3.21,1.15,,,,,,,
,,,Fernando Tatis Jr.,,27,SD,OF,,$24,$24,$21,$21,12,4.4,7.0,.359,29,29,148,25,,,,,,,
,,,Kyle Tucker,,29,LAD,OF,,$24,$24,$21,$21,10,4.3,6.9,.368,28,30,144,21,,,,,,,
,,,Julio Rodríguez,,25,SEA,OF,,$24,$24,$24,$24,9,4.3,6.9,.330,30,31,154,26,,,,,,,
,,,Bryce Harper,,33,PHI,1B,,$23,$23,$14,$14,34,2.4,6.7,.363,26,32,132,10,,,,,,,
,,,Matt Olson,,31,ATL,1B,,$23,$23,$11,$11,35,2.3,6.7,.348,31,32,146,1,,,,,,,
,,,Ronald Acuña Jr.,,28,ATL,OF,,$23,$23,$26,$26,6,4.0,6.6,.385,27,26,144,23,,,,,,,
,,,Cal Raleigh,,29,SEA,C,,$22,$22,$14,$14,19,1.7,6.4,.358,38,22,141,8,,,,,,,
,,,Jackson Chourio,,21,MIL,OF,,$22,$22,$17,$17,20,3.7,6.3,.324,24,38,141,23,,,,,,,
,,,Pete Alonso,,31,BAL,1B,,$22,$22,$16,$16,23,2.0,6.3,.329,37,29,150,2,,,,,,,
,,,Rafael Devers,,29,SF,1B,,$22,$22,$11,$11,38,1.9,6.3,.351,31,30,143,2,,,,,,,
,,,Maikel Garcia,,25,KC,2B,"3B,SS",$21,$21,$10,$10,76,2.3,6.2,.343,13,35,132,27,,,,,,,
,,,Junior Caminero,,22,TB,3B,,$21,$21,$19,$19,15,1.5,6.1,.333,37,26,147,6,,,,,,,
,,,Nick Kurtz,,22,ATH,1B,,$20,$20,$16,$16,18,1.6,5.9,.351,35,27,139,3,,,,,,,
,,,Logan Gilbert,,28,SEA,SP,,$20,$20,$13,$13,39,4.2,6.2,12,0,182,3.34,1.07,,,,,,,
,,,Jarren Duran,,29,BOS,OF,,$20,$20,$10,$10,64,3.3,5.9,.344,16,40,133,22,,,,,,,
,,,Francisco Lindor,Inj,32,NYM,SS,,$19,$19,$14,$14,25,2.7,5.6,.331,26,30,144,23,,,,,,,
,,,Zack Wheeler,Inj,35,PHI,SP,,$19,$19,$10,$10,128,3.9,5.9,11,0,167,3.21,1.04,,,,,,,
,,,Max Fried,,32,NYY,SP,,$19,$19,$12,$12,47,3.9,5.9,14,0,170,3.28,1.15,,,,,,,
,,,Brent Rooker,,31,ATH,OF,,$19,$19,$17,$17,40,3.0,5.6,.340,32,33,148,6,,,,,,,
,,,James Wood,,23,WSN,OF,,$19,$19,$12,$12,32,3.0,5.6,.355,26,33,133,16,,,,,,,
,,,William Contreras,,28,MIL,C,,$19,$19,$6,$6,62,0.9,5.6,.382,19,27,135,6,,,,,,,
,,,Chris Sale,,36,ATL,SP,,$19,$19,$13,$13,37,3.8,5.7,11,0,182,3.26,1.07,,,,,,,
,,,Hunter Brown,,27,HOU,SP,,$19,$19,$10,$10,36,3.7,5.7,13,0,198,3.38,1.15,,,,,,,
,,,Jacob deGrom,,37,TEX,SP,,$19,$19,$12,$12,43,3.7,5.6,10,0,171,3.37,1.05,,,,,,,
,,,Mookie Betts,,33,LAD,SS,,$18,$18,$12,$12,41,2.4,5.4,.357,23,32,145,9,,,,,,,
,,,Pete Crow-Armstrong,,23,CHC,OF,,$18,$18,$15,$15,33,2.8,5.3,.298,24,34,140,33,,,,,,,
,,,Ketel Marte,,32,ARI,2B,,$17,$17,$14,$14,26,1.7,5.1,.361,26,32,133,5,,,,,,,
,,,Trea Turner,,32,PHI,SS,,$17,$17,$15,$15,24,2.1,5.1,.337,18,32,134,27,,,,,,,
,,,Kyle Schwarber,,32,PHI,DH,,$17,$17,$18,$18,21,2.5,5.0,.356,41,21,153,7,,,,,,,
,,,Josh Naylor,,28,SEA,1B,,$17,$17,$10,$10,58,0.6,4.9,.348,23,27,130,18,,,,,,,
,,,Zach Neto,,25,LAA,SS,,$16,$16,$14,$14,30,1.8,4.8,.315,27,32,129,26,,,,,,,
,,,Yoshinobu Yamamoto,,27,LAD,SP,,$16,$16,$12,$12,28,3.0,5.0,12,0,177,3.34,1.13,,,,,,,
