,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Shohei Ohtani,,31,LAD,DH,SP,$46,$46,$47,$47,1,11.8,16.2,.390,46,31,192,24,,,,,,,
,,,Bobby Witt Jr.,,25,KC,SS,,$35,$35,$31,$31,3,9.2,12.6,.348,28,44,157,33,,,,,,,
,,,Tarik Skubal,,29,DET,SP,,$34,$34,$30,$30,7,14.3,16.4,15,0,237,2.75,0.95,,,,,,,
,,,Corbin Carroll,Inj,25,ARI,OF,,$34,$34,$21,$21,17,8.7,12.0,.353,27,40,160,34,,,,,,,
,,,Juan Soto,,27,NYM,OF,,$33,$33,$30,$30,4,8.4,11.7,.414,36,25,163,23,,,,,,,
,,,Aaron Judge,,33,NYY,OF,,$31,$31,$38,$38,2,7.8,11.2,.419,43,25,165,9,,,,,,,
,,,José Ramírez,,33,CLE,3B,,$30,$30,$23,$23,5,6.9,10.8,.357,28,35,149,31,,,,,,,
,,,Elly De La Cruz,,24,CIN,SS,,$29,$29,$20,$20,8,6.9,10.3,.341,24,36,152,40,,,,,,,
,,,Paul Skenes,,23,PIT,SP,,$27,$27,$23,$23,11,11.0,13.0,14,0,223,2.86,1.04,,,,,,,
,,,Gunnar Henderson,,24,BAL,SS,,$27,$27,$21,$21,13,6.3,9.6,.350,27,38,151,23,,,,,,,
,,,Garrett Crochet,,26,BOS,SP,,$27,$27,$22,$22,14,10.9,13.0,14,0,234,2.96,1.04,,,,,,,
,,,Vladimir Guerrero Jr.,,26,TOR,1B,,$26,$26,$22,$22,16,5.6,9.4,.380,31,33,157,5,,,,,,,
,,,Fernando Tatis Jr.,,27,SD,OF,,$23,$23,$21,$21,12,5.0,8.3,.359,29,29,148,25,,,,,,,
,,,Freddie Freeman,,36,LAD,1B,,$23,$23,$14,$14,50,4.4,8.2,.384,22,35,145,7,,,,,,,
,,,Kyle Tucker,,29,LAD,OF,,$23,$23,$21,$21,10,4.9,8.2,.368,28,30,144,21,,,,,,,
,,,Julio Rodríguez,,25,SEA,OF,,$23,$23,$24,$24,9,4.8,8.1,.330,30,31,154,26,,,,,,,
,,,Ronald Acuña Jr.,,28,ATL,OF,,$23,$23,$26,$26,6,4.7,8.0,.385,27,26,144,23,,,,,,,
,,,Jackson Chourio,,21,MIL,OF,,$21,$21,$17,$17,20,4.2,7.5,.324,24,38,141,23,,,,,,,
,,,Bryan Woo,,26,SEA,SP,,$21,$21,$16,$16,42,8.0,10.1,13,0,184,3.28,1.03,,,,,,,
,,,Cristopher Sánchez,,29,PHI,SP,,$20,$20,$14,$14,29,7.7,9.7,14,0,191,3.18,1.11,,,,,,,
,,,Jarren Duran,,29,BOS,OF,,$20,$20,$10,$10,64,3.8,7.1,.344,16,40,133,22,,,,,,,
,,,James Wood,,23,WSN,OF,,$19,$19,$12,$12,32,3.5,6.9,.355,26,33,133,16,,,,,,,
,,,Maikel Garcia,,25,KC,2B,"3B,SS",$19,$19,$10,$10,76,2.8,6.8,.343,13,35,132,27,,,,,,,
,,,Brent Rooker,,31,ATH,OF,,$19,$19,$17,$17,40,3.5,6.8,.340,32,33,148,6,,,,,,,
,,,Logan Webb,,29,SF,SP,,$19,$19,$12,$12,46,7.1,9.2,14,0,197,3.21,1.15,,,,,,,
,,,Bryce Harper,,33,PHI,1B,,$19,$19,$14,$14,34,3.0,6.8,.363,26,32,132,10,,,,,,,
,,,Pete Crow-Armstrong,,23,CHC,OF,,$19,$19,$15,$15,33,3.3,6.6,.298,24,34,140,33,,,,,,,
,,,Matt Olson,,31,ATL,1B,,$19,$19,$11,$11,35,2.8,6.6,.348,31,32,146,1,,,,,,,
,,,Francisco Lindor,Inj,32,NYM,SS,,$19,$19,$14,$14,25,3.2,6.6,.331,26,30,144,23,,,,,,,
,,,Cal Raleigh,,29,SEA,C,,$18,$18,$14,$14,19,2.3,6.4,.358,38,22,141,8,,,,,,,
,,,Kyle Schwarber,,32,PHI,DH,,$18,$18,$18,$18,21,3.0,6.4,.356,41,21,153,7,,,,,,,
,,,Mookie Betts,,33,LAD,SS,,$18,$18,$12,$12,41,2.9,6.2,.357,23,32,145,9,,,,,,,
,,,Rafael Devers,,29,SF,1B,,$18,$18,$11,$11,38,2.4,6.2,.351,31,30,143,2,,,,,,,
,,,Pete Alonso,,31,BAL,1B,,$17,$17,$16,$16,23,2.4,6.2,.329,37,29,150,2,,,,,,,
,,,Trea Turner,,32,PHI,SS,,$17,$17,$15,$15,24,2.7,6.0,.337,18,32,134,27,,,,,,,
,,,Nick Kurtz,,22,ATH,1B,,$17,$17,$16,$16,18,2.1,5.9,.351,35,27,139,3,,,,,,,
,,,Junior Caminero,,22,TB,3B,,$17,$17,$19,$19,15,2.0,5.9,.333,37,26,147,6,,,,,,,
,,,Wyatt Langford,,24,TEX,OF,,$16,$16,$11,$11,48,2.4,5.8,.345,23,31,128,21,,,,,,,
,,,Zach Neto,,25,LAA,SS,,$16,$16,$14,$14,30,2.4,5.7,.315,27,32,129,26,,,,,,,
,,,Logan Gilbert,,28,SEA,SP,,$16,$16,$13,$13,39,5.7,7.8,12,0,182,3.34,1.07,,,,,,,
,,,Ketel Marte,,32,ARI,2B,,$16,$16,$14,$14,26,2.2,5.7,.361,26,32,133,5,,,,,,,
,,,Geraldo Perdomo,,26,ARI,SS,,$16,$16,$8,$8,72,2.3,5.6,.367,13,31,132,21,,,,,,,
,,,William Contreras,,28,MIL,C,,$16,$16,$6,$6,62,1.5,5.6,.382,19,27,135,6,,,,,,,
,,,Max Fried,,32,NYY,SP,,$16,$16,$12,$12,47,5.4,7.5,14,0,170,3.28,1.15,,,,,,,
,,,Zack Wheeler,Inj,35,PHI,SP,,$16,$16,$10,$10,128,5.4,7.5,11,0,167,3.21,1.04,,,,,,,
,,,Chris Sale,,36,ATL,SP,,$15,$15,$13,$13,37,5.3,7.3,11,0,182,3.26,1.07,,,,,,,
,,,Hunter Brown,,27,HOU,SP,,$15,$15,$10,$10,36,5.2,7.3,13,0,198,3.38,1.15,,,,,,,
,,,Jacob deGrom,,37,TEX,SP,,$15,$15,$12,$12,43,5.1,7.2,10,0,171,3.37,1.05,,,,,,,
