,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Tarik Skubal,,29,DET,SP,,$51,$51,$33,$33,7,13.3,15.2,15,0,237,2.75,0.95,,,,,,,
,,,Shohei Ohtani,,31,LAD,DH,SP,$47,$47,$52,$52,1,11.5,14.4,.390,46,31,192,24,,,,,,,
,,,Bobby Witt Jr.,,25,KC,SS,,$41,$41,$35,$35,3,8.9,12.5,.348,28,44,157,33,,,,,,,
,,,Paul Skenes,,23,PIT,SP,,$40,$40,$25,$25,11,9.8,11.8,14,0,223,2.86,1.04,,,,,,,
,,,Garrett Crochet,,26,BOS,SP,,$40,$40,$24,$24,14,9.8,11.7,14,0,234,2.96,1.04,,,,,,,
,,,Corbin Carroll,Inj,25,ARI,OF,,$38,$38,$23,$23,17,8.4,11.7,.353,27,40,160,34,,,,,,,
,,,Juan Soto,,27,NYM,OF,,$37,$37,$33,$33,4,8.0,11.3,.414,36,25,163,23,,,,,,,
,,,Aaron Judge,,33,NYY,OF,,$35,$35,$41,$41,2,7.5,10.8,.419,43,25,165,9,,,,,,,
,,,José Ramírez,,33,CLE,3B,,$35,$35,$25,$25,5,6.6,10.8,.357,28,35,149,31,,,,,,,
,,,Elly De La Cruz,,24,CIN,SS,,$34,$34,$22,$22,8,6.7,10.2,.341,24,36,152,40,,,,,,,
,,,Gunnar Henderson,,24,BAL,SS,,$31,$31,$23,$23,13,6.0,9.6,.350,27,38,151,23,,,,,,,
,,,Vladimir Guerrero Jr.,,26,TOR,1B,,$31,$31,$24,$24,16,5.3,9.3,.380,31,33,157,5,,,,,,,
,,,Bryan Woo,,26,SEA,SP,,$30,$30,$17,$17,42,6.9,8.8,13,0,184,3.28,1.03,,,,,,,
,,,Cristopher Sánchez,,29,PHI,SP,,$28,$28,$15,$15,29,6.5,8.4,14,0,191,3.18,1.11,,,,,,,
,,,Freddie Freeman,,36,LAD,1B,,$27,$27,$15,$15,50,4.2,8.1,.384,22,35,145,7,,,,,,,
,,,Logan Webb,,29,SF,SP,,$27,$27,$14,$14,46,5.9,7.8,14,0,197,3.21,1.15,,,,,,,
,,,Fernando Tatis Jr.,,27,SD,OF,,$26,$26,$23,$23,12,4.7,7.9,.359,29,29,148,25,,,,,,,
,,,Kyle Tucker,,29,LAD,OF,,$26,$26,$24,$24,10,4.6,7.8,.368,28,30,144,21,,,,,,,
,,,Julio Rodríguez,,25,SEA,OF,,$25,$25,$26,$26,9,4.5,7.7,.330,30,31,154,26,,,,,,,
,,,Ronald Acuña Jr.,,28,ATL,OF,,$25,$25,$29,$29,6,4.4,7.6,.385,27,26,144,23,,,,,,,
,,,Maikel Garcia,,25,KC,3B,"2B,SS",$24,$24,$11,$11,76,2.6,7.2,.343,13,35,132,27,,,,,,,
,,,Jackson Chourio,,21,MIL,OF,,$24,$24,$19,$19,20,3.9,7.2,.324,24,38,141,23,,,,,,,
,,,Jarren Duran,,29,BOS,OF,,$22,$22,$11,$11,64,3.5,6.8,.344,16,40,133,22,,,,,,,
,,,Logan Gilbert,,28,SEA,SP,,$22,$22,$14,$14,39,4.5,6.4,12,0,182,3.34,1.07,,,,,,,
,,,Bryce Harper,,33,PHI,1B,,$22,$22,$15,$15,34,2.7,6.6,.363,26,32,132,10,,,,,,,
,,,Cal Raleigh,,29,SEA,C,,$22,$22,$15,$15,19,2.0,6.6,.358,38,22,141,8,,,,,,,
,,,James Wood,,23,WSN,OF,,$22,$22,$14,$14,32,3.2,6.5,.355,26,33,133,16,,,,,,,
,,,Brent Rooker,,31,ATH,OF,,$21,$21,$19,$19,40,3.2,6.5,.340,32,33,148,6,,,,,,,
,,,Francisco Lindor,Inj,32,NYM,SS,,$21,$21,$15,$15,25,2.9,6.5,.331,26,30,144,23,,,,,,,
,,,Matt Olson,,31,ATL,1B,,$21,$21,$12,$12,35,2.5,6.5,.348,31,32,146,1,,,,,,,
,,,Max Fried,,32,NYY,SP,,$21,$21,$13,$13,47,4.2,6.2,14,0,170,3.28,1.15,,,,,,,
,,,Zack Wheeler,Inj,35,PHI,SP,,$21,$21,$11,$11,128,4.2,6.1,11,0,167,3.21,1.04,,,,,,,
,,,Pete Crow-Armstrong,,23,CHC,OF,,$21,$21,$17,$17,33,3.0,6.2,.298,24,34,140,33,,,,,,,
,,,Chris Sale,,36,ATL,SP,,$20,$20,$14,$14,37,4.1,6.0,11,0,182,3.26,1.07,,,,,,,
,,,Mookie Betts,,33,LAD,SS,,$20,$20,$13,$13,41,2.6,6.2,.357,23,32,145,9,,,,,,,
,,,Hunter Brown,,27,HOU,SP,,$20,$20,$11,$11,36,4.1,6.0,13,0,198,3.38,1.15,,,,,,,
,,,Rafael Devers,,29,SF,1B,,$20,$20,$12,$12,38,2.1,6.1,.351,31,30,143,2,,,,,,,
,,,Pete Alonso,,31,BAL,1B,,$20,$20,$17,$17,23,2.1,6.0,.329,37,29,150,2,,,,,,,
,,,Jacob deGrom,,37,TEX,SP,,$20,$20,$13,$13,43,3.9,5.9,10,0,171,3.37,1.05,,,,,,,
,,,Trea Turner,,32,PHI,SS,,$20,$20,$17,$17,24,2.4,5.9,.337,18,32,134,27,,,,,,,
,,,Junior Caminero,,22,TB,3B,,$19,$19,$21,$21,15,1.7,5.9,.333,37,26,147,6,,,,,,,
,,,William Contreras,,28,MIL,C,,$19,$19,$6,$6,62,1.2,5.8,.382,19,27,135,6,,,,,,,
,,,Kyle Schwarber,,32,PHI,DH,,$19,$19,$20,$20,21,2.7,5.8,.356,41,21,153,7,,,,,,,
,,,Nick Kurtz,,22,ATH,1B,,$19,$19,$17,$17,18,1.8,5.7,.351,35,27,139,3,,,,,,,
,,,Zach Neto,,25,LAA,SS,,$18,$18,$15,$15,30,2.0,5.6,.315,27,32,129,26,,,,,,,
,,,Geraldo Perdomo,,26,ARI,SS,,$18,$18,$9,$9,72,2.0,5.6,.367,13,31,132,21,,,,,,,
,,,Yoshinobu Yamamoto,,27,LAD,SP,,$18,$18,$13,$13,28,3.3,5.3,12,0,177,3.34,1.13,,,,,,,
,,,Wyatt Langford,,24,TEX,OF,,$18,$18,$12,$12,48,2.1,5.4,.345,23,31,128,21,,,,,,,
