# BP The Ax 2026 auction values (10-team $202 auction slots, hitter value for two-way). Run: python3 scripts/bake_manual.py
Name,BP_Ax
Shohei Ohtani,66.7
Tarik Skubal,57.6
Aaron Judge,53.7
Elly De La Cruz,51.3
Bobby Witt Jr.,42.6
Juan Soto,41.5
José Ramírez,37.1
Corbin Carroll,35.0
Garrett Crochet,34.7
Logan Gilbert,33.0
Bryan Woo,32.7
Ronald Acuña Jr.,31.8
Fernando Tatis Jr.,30.2
Jarren Duran,30.1
Paul Skenes,29.7
Gunnar Henderson,29.7
Kyle Tucker,28.6
Chris Sale,27.9
Freddie Freeman,27.6
Joe Ryan,27.1
Cal Raleigh,26.4
Brent Rooker,26.0
Vladimir Guerrero Jr.,25.4
Bryce Harper,24.7
Cole Ragans,24.4
Rafael Devers,23.9
Kyle Schwarber,23.7
Julio Rodríguez,23.4
James Wood,22.4
Nick Kurtz,22.3
Mookie Betts,21.6
Trea Turner,21.2
Ketel Marte,19.8
Jacob deGrom,19.6
Yordan Alvarez,19.5
William Contreras,18.7
Maikel Garcia,18.0
Matt Olson,17.8
Yoshinobu Yamamoto,17.4
George Kirby,16.9
Pete Alonso,16.6
Francisco Lindor,16.4
Dylan Cease,16.1
Hunter Brown,15.6
Shea Langeliers,15.4
Kevin Gausman,15.2
Pete Crow-Armstrong,15.0
Cristopher Sánchez,14.9
CJ Abrams,14.7
Jakob Marsee,14.7
Luis Arraez,14.4
Nick Pivetta,14.3
Jackson Chourio,14.1
Geraldo Perdomo,14.0
Nathan Eovaldi,13.6
Mason Miller,13.4
Manny Machado,13.4
Steven Kwan,12.8
Jazz Chisholm Jr.,12.3
Jose Altuve,12.3
Agustín Ramírez,12.2
Edwin Díaz,12.1
Tatsuya Imai,11.7
Randy Arozarena,11.2
Xavier Edwards,11.1
Josh Naylor,10.5
Max Fried,10.5
Lawrence Butler,10.3
Hunter Goodman,10.3
Seiya Suzuki,10.3
Vinnie Pasquantino,10.2
Matthew Boyd,10.1
Oneil Cruz,10.1
Roman Anthony,9.7
Jung Hoo Lee,9.7
Ian Happ,9.6
Salvador Perez,9.5
Bo Bichette,9.0
Yandy Díaz,9.0
Ben Rice,9.0
Tyler Soderstrom,9.0
Luke Keaschall,8.9
Blake Snell,8.6
Austin Riley,8.4
Jacob Wilson,8.0
Zach Neto,7.8
Daylen Lile,7.6
Logan Webb,7.5
Bryan Reynolds,7.4
Matt Chapman,7.1
Junior Caminero,7.0
Nico Hoerner,7.0
Willy Adames,6.9
Wyatt Langford,6.8
Freddy Peralta,6.6
Riley Greene,6.5
Brandon Woodruff,6.3
Luis García Jr.,6.1
Brice Turang,5.9
Michael Busch,5.9
Byron Buxton,5.8
George Springer,5.3
Jesús Luzardo,5.2
Bryson Stott,5.2
Sonny Gray,4.7
Cody Bellinger,4.6
Shota Imanaga,4.4
Adley Rutschman,4.2
Emmet Sheehan,4.2
Luis Castillo,4.0
Zack Wheeler,4.0
Gleyber Torres,3.9
Spencer Horwitz,3.9
Cade Smith,3.8
Munetaka Murakami,3.7
Drake Baldwin,3.6
Chandler Simpson,3.5
Jonathan Aranda,3.5
Michael Harris II,3.5
Raisel Iglesias,3.5
Ezequiel Tovar,3.5
Corey Seager,3.4
Xander Bogaerts,3.4
Alex Bregman,3.4
Josh Hader,3.3
Brendan Donovan,3.2
Jameson Taillon,3.1
Jeremiah Estrada,3.0
Kyle Manzardo,3.0
Trey Yesavage,2.9
Andrew Vaughn,2.8
Devin Williams,2.7
David Bednar,2.6
Dylan Crews,2.4
Willson Contreras,2.4
Andrés Giménez,2.4
Luis Robert Jr.,2.2
Alex Vesia,2.2
Bryan Abreu,2.2
Garrett Cleavinger,2.1
Aaron Nola,2.1
Tyler Glasnow,1.9
Edwin Uceta,1.9
Jeff Hoffman,1.8
Andrés Muñoz,1.7
Ryan Pepiot,1.6
Matt McLain,1.5
Kyle Bradish,1.5
Nick Lodolo,1.4
Griffin Jax,1.4
Cole Sands,1.4
J.P. Crawford,1.3
Sal Stewart,1.3
Emilio Pagán,1.3
Alec Burleson,1.3
Adolis García,1.2
Tanner Bibee,1.2
Isaac Paredes,1.2
Ozzie Albies,1.1
Teoscar Hernández,1.0
Aroldis Chapman,0.9
Marcus Semien,0.9
Kazuma Okamoto,0.8
Josh Lowe,0.8
Nolan Schanuel,0.8
Ryan Jeffers,0.8
Spencer Strider,0.8
Abner Uribe,0.8
Brenton Doyle,0.8
Spencer Torkelson,0.8
Edgar Quero,0.8
Kyle Leahy,0.8
Jordan Beck,0.7
TJ Friedl,0.7
Kerry Carpenter,0.7
Drew Rasmussen,0.7
Heliot Ramos,0.7
Christian Yelich,0.6
Jackson Merrill,0.6
Taylor Ward,0.5
Robbie Ray,0.4
Otto Lopez,0.2
Christian Walker,0.1
Ryan Walker,0.1
Josh Bell,0.1
