# FanGraphs Steamer auction values (hitter value used for two-way players). Run: python3 scripts/bake_manual.py
Name,FG_Ax,FG_Full
Tarik Skubal,55.8,33.5
Paul Skenes,42.9,26.9
Garrett Crochet,40.9,26.1
Shohei Ohtani,39.9,32.1
Aaron Judge,38.0,33.1
Bobby Witt Jr.,36.7,29.6
Ronald Acuna Jr.,35.5,31.2
Juan Soto,34.8,30.8
Vladimir Guerrero Jr.,32.2,25.0
Gunnar Henderson,31.0,25.3
Jose Ramirez,29.5,23.5
Chris Sale,28.5,19.4
Freddie Freeman,27.4,21.2
Mason Miller,27.0,16.0
Bryce Harper,26.7,20.7
Elly De La Cruz,26.6,22.1
Corbin Carroll,26.0,23.9
Yordan Alvarez,25.0,20.5
Fernando Tatis Jr.,24.6,22.7
Zack Wheeler,24.2,16.9
Julio Rodriguez,23.5,21.8
Ketel Marte,22.8,18.7
Matt Olson,22.5,17.5
Francisco Lindor,22.3,18.6
Pete Alonso,22.2,17.2
Kyle Tucker,22.2,20.9
Cristopher Sanchez,22.2,16.5
Logan Gilbert,20.2,15.4
Cal Raleigh,19.6,15.3
Jackson Chourio,19.5,18.7
Jacob deGrom,19.4,15.4
Zach Neto,19.3,16.3
Maikel Garcia,18.7,15.2
Kyle Schwarber,18.7,15.7
Brent Rooker,18.2,17.6
Edwin Diaz,18.1,11.9
Cole Ragans,17.7,14.0
Rafael Devers,17.4,13.6
Mookie Betts,16.9,14.3
Jhoan Duran,16.4,10.7
Cade Smith,16.4,11.0
Trea Turner,16.4,14.1
William Contreras,16.1,12.5
Wyatt Langford,16.1,16.2
Yandy Diaz,15.8,12.3
George Kirby,15.8,13.5
George Springer,15.2,15.5
Randy Arozarena,15.2,15.5
Jarren Duran,15.0,15.2
Bryan Woo,15.0,13.8
CJ Abrams,14.9,13.0
Alex Bregman,14.8,12.0
Ian Happ,14.8,15.0
Manny Machado,14.4,11.8
Brandon Nimmo,14.1,14.5
Josh Naylor,14.0,11.0
Austin Riley,13.9,11.2
Vinnie Pasquantino,13.7,10.7
Max Fried,12.9,11.7
Logan Webb,12.8,11.9
Griffin Jax,12.6,8.7
Andres Munoz,12.5,8.7
Riley Greene,12.3,13.0
Brice Turang,12.1,10.7
Aroldis Chapman,12.0,8.5
Junior Caminero,11.9,9.9
Jackson Merrill,11.8,12.6
Masyn Winn,11.8,10.3
Nick Kurtz,11.8,9.5
James Wood,11.8,12.8
David Bednar,11.7,8.6
Devin Williams,11.6,8.4
Matt Chapman,11.5,9.5
Bo Bichette,11.4,10.0
Ezequiel Tovar,11.2,9.8
Josh Hader,11.1,8.2
Geraldo Perdomo,10.9,9.9
Shane McClanahan,10.9,9.8
Corey Seager,10.7,9.7
Taylor Ward,10.6,11.8
Jose Altuve,10.6,9.4
Gleyber Torres,10.5,9.3
Jazz Chisholm Jr.,10.1,9.3
Willy Adames,10.0,9.1
Cody Bellinger,9.9,11.3
Seiya Suzuki,9.8,11.2
Munetaka Murakami,9.7,7.9
Oneil Cruz,9.4,11.2
Pete Crow-Armstrong,9.1,10.8
Steven Kwan,9.0,10.7
Dylan Cease,9.0,10.1
Nico Hoerner,8.9,8.2
Roman Anthony,8.8,10.5
Bryan Reynolds,8.7,10.3
Jesus Luzardo,8.5,9.9
Marcus Semien,8.4,7.6
Jeremy Pena,8.4,7.8
Ryan Walker,7.9,6.6
Eugenio Suarez,7.9,6.8
Yoshinobu Yamamoto,7.4,8.4
Jeff Hoffman,7.3,6.3
Teoscar Hernandez,7.2,9.2
Shea Langeliers,7.2,5.7
Salvador Perez,7.1,5.5
Byron Buxton,6.9,9.1
Nolan Schanuel,6.8,5.6
Joe Ryan,6.8,9.4
Garrett Cleavinger,6.4,5.6
Alec Burleson,6.3,8.5
Spencer Torkelson,6.3,5.1
Xander Bogaerts,6.1,6.1
Jeremiah Estrada,6.0,5.4
Adley Rutschman,6.0,4.7
Luis Arraez,5.9,4.8
Michael Busch,5.8,4.8
Bryan Abreu,5.8,5.3
Abner Uribe,5.8,5.5
Grant Taylor,5.2,5.7
Jakob Marsee,5.2,8.1
Ozzie Albies,5.2,5.2
Brendan Donovan,5.1,5.1
Luke Keaschall,5.0,5.2
Jose A. Ferrer,4.8,4.7
Freddy Peralta,,4.8
Matt Brash,4.6,4.4
Spencer Strider,,4.6
Drew Rasmussen,,4.5
Michael Harris II,4.3,7.1
Nick Pivetta,,4.2
Ryan Helsley,4.1,4.7
Trevor Megill,4.1,4.6
Hunter Goodman,3.8,3.0
Tyler Soderstrom,3.8,6.2
Hunter Brown,3.7,7.6
Ben Rice,3.7,3.1
Ceddanne Rafaela,3.7,6.5
Luis Castillo,,3.6
Xavier Edwards,3.5,4.3
Kyle Bradish,,3.5
Nathan Eovaldi,3.4,7.2
Bryson Stott,3.3,4.0
Daniel Palencia,3.3,4.5
Daulton Varsho,,3.2
Emmet Sheehan,,3.1
Fernando Cruz,3.1,3.8
Sonny Gray,2.9,7.3
TJ Friedl,,2.9
Raisel Iglesias,2.9,4.3
Michael King,,2.9
Addison Barger,,2.8
Tyler Glasnow,2.7,5.9
Will Smith,2.7,2.3
MacKenzie Gore,,2.7
Jo Adell,,2.6
Lawrence Butler,2.6,5.8
Gabe Speier,2.6,3.3
Andy Pages,2.5,5.6
Dylan Lee,,2.4
Alec Bohm,2.4,2.5
Aaron Nola,,2.4
Pete Fairbanks,2.4,3.8
Kazuma Okamoto,2.3,2.5
Jacob Wilson,2.3,3.1
Tanner Scott,,2.3
Chase Burns,,2.3
Joe Musgrove,,2.2
Alex Vesia,,2.2
Brenton Doyle,,2.2
Shane Bieber,,2.1
Will Vest,2.1,3.3
Luke Weaver,,2.1
Matt Strahm,,2.0
Sean Manaea,,2.0
Louis Varland,2.0,3.4
Garrett Whitlock,1.9,3.5
Blake Snell,1.8,5.4
Trey Yesavage,,1.8
Eury Perez,,1.8
Jonathan India,,1.7
Hunter Harvey,1.7,2.9
Caleb Durbin,1.7,2.2
Emilio Pagan,,1.7
Cody Ponce,,1.6
Kevin Gausman,,1.6
Drake Baldwin,1.6,1.4
Gerrit Cole,,1.5
Carlos Rodon,,1.5
Jared Koenig,,1.5
Framber Valdez,1.5,6.1
Ivan Herrera,1.4,2.4
Yimi Garcia,,1.4
Jeff McNeil,,1.4
Jack Flaherty,,1.3
Willi Castro,,1.3
Willson Contreras,1.3,1.3
Robert Suarez,1.2,3.1
Nick Lodolo,,1.2
Bryan Baker,,1.2
Edwin Uceta,1.2,3.1
Robert Garcia,1.1,3.1
Camilo Doval,,1.1
A.J. Minter,1.0,2.5
Agustin Ramirez,1.0,1.0
Trent Grisham,,1.0
Luis Garcia Jr.,1.0,2.0
Jason Adam,,1.0
Ranger Suarez,,1.0
Carlos Correa,,1.0
Isaac Paredes,1.0,1.6
Orion Kerkering,,1.0
Kevin McGonigle,1.0,2.2
Kenley Jansen,,1.0
Adolis Garcia,1.0,4.5
Brandon Lowe,,1.0
Jake Burger,1.0,1.0
Ryan O'Hearn,,1.0
Brandon Woodruff,1.0,6.2
Lars Nootbaar,,0.9
Adrian Morejon,0.9,2.8
Caleb Thielbar,,0.9
Bryan King,,0.8
Jordan Beck,,0.8
Riley O'Brien,,0.8
Jung Hoo Lee,,0.7
Jose Alvarado,0.7,2.6
Matthew Boyd,,0.7
Eduard Bazardo,,0.7
Seranthony Dominguez,,0.7
Heliot Ramos,0.7,4.3
Matt Wallner,,0.6
Shota Imanaga,,0.6
Grayson Rodriguez,,0.6
Jorge Polanco,,0.6
Dylan Crews,0.5,4.3
Gregory Soto,,0.5
Daylen Lile,,0.5
Luis Robert Jr.,0.5,4.3
Andres Gimenez,0.4,1.6
Kyle Stowers,0.4,4.0
Yainer Diaz,0.4,0.4
Spencer Schwellenbach,,0.4
Hunter Greene,,0.3
Royce Lewis,0.3,1.1
Sal Frelick,,0.3
Shawn Armstrong,,0.3
Miguel Vargas,0.3,1.0
Otto Lopez,,0.3
Chris Martin,0.3,2.2
Colt Keith,,0.2
Clayton Beeter,,0.2
Jake Cronenworth,,0.2
Christian Walker,0.1,0.4
Nolan Arenado,,0.1
JoJo Romero,,0.1
Dennis Santana,,0.1
Wilyer Abreu,0.1,3.8
Christian Yelich,0.1,1.5
Jonathan Aranda,0.0,0.4
JJ Wetherholt,,0.0
Jared Jones,,0.0
Ryan Pepiot,,0.0
Ben Brown,0.0,2.5
