# Hitter Rankings — add columns freely. Run: python3 scripts/bake_manual.py
# Source: https://pitcherlist.com/top-300-hitters-for-fantasy-baseball-2026/
Name,HL_Rank,HL_Tier,HL_Pos,AVG
Shohei Ohtani,1,1,DH,0.275
Aaron Judge,2,1,OF,0.283
Juan Soto,3,2,OF,0.273
José Ramírez,4,2,3B,0.153
Bobby Witt Jr.,5,2,SS,0.293
Julio Rodríguez,6,2,OF,0.275
Kyle Tucker,7,2,OF,0.269
Fernando Tatis Jr.,8,2,OF,0.275
Junior Caminero,9,3,3B,0.271
Corbin Carroll,10,3,OF,0.261
Cal Raleigh,11,3,C,0.23
Nick Kurtz,12,3,1B,0.258
Kyle Schwarber,13,3,OF,0.231
Pete Alonso,14,3,1B,0.254
Francisco Lindor,15,3,SS,0.259
Gunnar Henderson,16,3,SS,0.275
Elly De La Cruz,17,3,SS,0.263
Vladimir Guerrero Jr.,18,3,1B,0.297
Ronald Acuña Jr.,19,4,OF,0.286
Yordan Alvarez,20,4,OF,0.299
Jackson Chourio,21,4,OF,0.27
Jazz Chisholm Jr.,22,4,2B/3B,0.24
Zach Neto,23,4,SS,0.252
Ketel Marte,24,4,2B,0.28
Brent Rooker,25,4,OF,0.257
Bryce Harper,26,4,1B,0.273
Josh Naylor,27,4,1B,0.266
Manny Machado,28,4,3B,0.268
Trea Turner,29,4,SS,0.28
Matt Olson,30,4,1B,0.256
Pete Crow-Armstrong,31,4,OF,0.252
James Wood,32,5,OF,0.26
Mookie Betts,33,5,SS,0.273
Brice Turang,34,5,2B,0.26
Riley Greene,35,5,OF,0.26
Rafael Devers,36,5,1B,0.248
Freddie Freeman,37,5,1B,0.279
Jackson Merrill,38,5,OF,0.269
Wyatt Langford,39,5,OF,0.256
Bo Bichette,40,5,SS,0.288
Hunter Goodman,41,5,C,0.255
Shea Langeliers,42,5,C,0.25
Cody Bellinger,43,6,OF,0.264
Eugenio Suárez,44,6,3B,0.234
Maikel Garcia,45,6,2B/3B/SS/OF,0.276
Byron Buxton,46,6,OF,0.247
Austin Riley,47,6,3B,0.26
Vinnie Pasquantino,48,6,1B,0.267
Corey Seager,49,6,SS,0.276
Ben Rice,50,6,C/1B,0.246
William Contreras,51,6,C,0.27
Christian Yelich,52,7,OF,0.258
Trevor Story,53,7,SS,0.247
Geraldo Perdomo,54,7,SS,0.27
Salvador Perez,55,7,C/1B,0.256
Willy Adames,56,7,SS,0.233
Seiya Suzuki,57,7,OF,0.254
Michael Harris II,58,7,OF,0.275
Alex Bregman,59,7,3B,0.26
Jose Altuve,60,7,2B/OF,0.267
Roman Anthony,61,8,OF,0.264
George Springer,62,8,OF,0.259
Taylor Ward,63,8,OF,0.244
Jarren Duran,64,8,OF,0.258
Will Smith,65,8,C,0.254
Iván Herrera,66,8,C/DH,0.273
Kyle Stowers,67,8,OF,0.241
Jo Adell,68,8,OF,0.237
Tyler Soderstrom,69,8,1B/OF,0.259
Andy Pages,70,8,OF,0.255
Jakob Marsee,71,8,OF,0.232
CJ Abrams,72,9,SS,0.255
Jeremy Peña,73,9,SS,0.272
Nico Hoerner,74,9,2B/SS,0.285
Drake Baldwin,75,9,C,0.268
Randy Arozarena,76,9,OF,0.233
Brandon Nimmo,77,9,OF,0.256
Oneil Cruz,78,9,OF,0.238
Ceddanne Rafaela,79,9,2B/OF,0.257
Ian Happ,80,9,OF,0.241
Steven Kwan,81,9,OF,0.278
Yandy Díaz,82,9,1B,0.287
Brandon Lowe,83,9,2B,0.243
Matt Chapman,84,9,3B,0.238
Jonathan Aranda,85,10,1B,0.257
Dansby Swanson,86,10,SS,0.241
Luke Keaschall,87,10,2B,0.267
Teoscar Hernández,88,10,OF,0.255
Trent Grisham,89,10,OF,0.219
Luis Robert Jr.,90,10,OF,0.232
Bryan Reynolds,91,10,OF,0.254
Michael Busch,92,10,1B,0.248
Alec Burleson,93,10,1B/OF,0.278
Christian Walker,94,10,1B,0.23
Colson Montgomery,95,10,SS,0.221
Ramón Laureano,96,10,OF,0.243
Lawrence Butler,97,10,OF,0.245
Daulton Varsho,98,10,OF,0.226
Munetaka Murakami,99,11,3B,0.23
Luis Arraez,100,11,1B/2B,0.305
Jacob Wilson,101,11,SS,0.301
Ezequiel Tovar,102,11,SS,0.263
Agustín Ramírez,103,11,C,0.25
Heliot Ramos,104,11,OF,0.256
Spencer Torkelson,105,11,1B,0.228
Willson Contreras,106,11,1B,0.248
Jorge Polanco,107,11,2B/3B,0.248
Ozzie Albies,108,11,2B,0.258
Alejandro Kirk,109,12,C,0.274
Giancarlo Stanton,110,12,OF,0.23
Xavier Edwards,111,12,2B/SS,0.286
Kerry Carpenter,112,12,OF,0.253
Yainer Diaz,113,12,C/1B,0.273
Gleyber Torres,114,12,2B,0.26
Adley Rutschman,115,12,C,0.255
Marcus Semien,116,12,2B,0.241
Chandler Simpson,117,12,OF,0.283
Sal Stewart,118,12,1B/3B,0.271
Dylan Crews,119,12,OF,0.243
Xander Bogaerts,120,12,SS,0.27
Wilyer Abreu,121,12,OF,0.25
Brenton Doyle,122,12,OF,0.245
Alec Bohm,123,13,1B/3B,0.275
Ryan O'Hearn,124,13,1B/OF,0.269
Gabriel Moreno,125,13,C,0.28
Mike Trout,126,13,OF,0.232
Otto Lopez,127,13,2B/SS,0.27
Bryson Stott,128,13,2B/SS,0.257
Luis García Jr.,129,13,2B,0.144
Caleb Durbin,130,13,2B/3B,0.267
Kazuma Okamoto,131,13,3B,0.248
Royce Lewis,132,13,3B,0.251
Daylen Lile,133,13,OF,0.271
Noelvi Marte,134,13,3B/OF,0.254
Brendan Donovan,136,14,2B/SS/OF,0.274
Matt McLain,137,14,2B/SS,0.234
Jordan Beck,138,14,OF,0.249
Isaac Paredes,139,14,3B,0.248
Willi Castro,140,14,2B/3B/OF,0.251
Chase Meidroth,141,14,2B/SS,0.261
Samuel Basallo,142,14,C,0.241
Jake Burger,143,14,1B,0.248
Konnor Griffin,144,14,SS/OF,0.259
Max Muncy (LAD),145,14,3B,0.239
Carlos Correa,146,14,3B/SS,0.268
Andrew Vaughn,147,14,1B,0.248
Jac Caglianone,148,14,1B/OF,0.256
Jackson Holliday,149,15,2B/SS,0.251
Kevin McGonigle,150,15,SS,0.258
Kyle Manzardo,151,15,1B,0.236
J.T. Realmuto,152,15,C,0.246
Francisco Alvarez,153,15,C,0.241
Lars Nootbaar,154,15,OF,0.249
Spencer Horwitz,155,15,1B,0.264
Jung Hoo Lee,156,15,OF,0.273
Addison Barger,157,15,3B/OF,0.249
Adolis García,158,15,OF,0.237
Gavin Sheets,159,15,1B/OF,0.244
Nolan Schanuel,160,15,1B,0.27
Jordan Westburg,161,16,2B/3B,0.264
J.P. Crawford,162,16,SS,0.242
Cedric Mullins,163,16,OF,0.227
TJ Friedl,164,16,OF,0.249
Mike Yastrzemski,165,16,OF,0.23
Colton Cowser,166,16,OF,0.23
Miguel Vargas,167,16,1B/3B,0.136
Jeff McNeil,168,16,2B/OF,0.264
Marcell Ozuna,169,16,DH,0.244
Sal Frelick,170,16,OF,0.271
Spencer Steer,172,16,1B/OF,0.237
Masyn Winn,173,16,SS,0.261
Josh Jung,174,17,3B,0.254
Ernie Clement,175,17,1B/2B/3B/SS,0.274
Brandon Marsh,176,17,OF,0.252
Matt Wallner,177,17,OF,0.229
Colt Keith,178,17,1B/2B/3B,0.262
Brooks Lee,179,17,2B/3B/SS,0.252
Austin Wells,181,17,C,0.229
Anthony Volpe,182,17,SS,0.231
Nolan Gorman,183,17,2B/3B,0.218
JJ Wetherholt,184,17,SS,0.255
Josh Lowe,185,17,OF,0.244
Chase DeLauter,186,17,OF,0.251
Joey Ortiz,187,17,SS,0.25
Dylan Beavers,188,17,OF,0.243
Jared Triolo,189,17,1B/3B/SS,0.241
Mark Vientos,190,17,1B/3B,0.248
Jesús Sánchez,191,17,OF,0.249
Mickey Moniak,192,17,OF,0.258
Josh Bell,194,17,1B,0.252
Harrison Bader,195,17,OF,0.248
Justin Crawford,197,18,OF,0.267
Ryan Jeffers,198,18,C,0.245
Rhys Hoskins,199,18,1B,0.224
Andrés Giménez,201,18,2B,0.253
Evan Carter,203,18,OF,0.244
Jorge Soler,204,18,OF,0.228
Jordan Walker,205,18,OF,0.245
Zach McKinstry,206,18,3B/SS/OF,0.234
Brett Baty,207,18,2B/3B,0.248
