# RP Rankings — add columns for any source. Run: python3 scripts/bake_manual.py
# Columns: Name (required) | PL_CloserRank (PitcherList saves rank) | add more freely
Name,CM_Role,CM_Rank,PL_CloserRank,Watch,PL_RPRank,PL_RPTier
Mason Miller,CLOSER:SD,,,,1,1
Edwin Díaz,,,,,2,2
Cade Smith,CLOSER:CLE,,,,3,
Josh Hader,,,,,14,
Jhoan Duran,CLOSER:PHI,,,,6,
Abner Uribe,CLOSER:MIL,,,,20,
Griffin Jax,,,,,13,4
Devin Williams,CLOSER:NYM,,,,4,
Grant Taylor,1ST:CHW,,,,33,
Andrés Muñoz,CLOSER:SEA,,,,5,
David Bednar,CLOSER:NYY,,,,8,3
Aroldis Chapman,CLOSER:BOS,,,,7,
Bryan Abreu,,,,,21,
Jeremiah Estrada,2ND:SD,,,,29,9
Garrett Whitlock,1ST:BOS,,,,30,
Garrett Cleavinger,,,,,34,10
Raisel Iglesias,CLOSER:ATL,,,,17,
Trevor Megill,1ST:MIL,,,,15,
Edwin Uceta,,,,★,37,
Jeff Hoffman,2ND:TOR,,,★,11,
A.J. Minter,,,,,,
Alex Vesia,1ST:LAD,,,,80,15
Matt Strahm,1ST:KC,,,,53,
Félix Bautista,,,,,,
Jalen Beeks,,,,,,
Emmanuel Clase,,,,,,
Danny Coulombe,,,,,,
Cooper Criswell,,,,,,
Enyel De Los Santos,CLOSER:HOU:*,,,,,
Jose A. Ferrer,2ND:SEA,,,,67,
Jon Gray,,,,,,
Liam Hendriks,,,,,,
Ronny Henriquez,,,,,,
Enrique Hernández,,,,,,
Joe Jiménez,,,,,,
Ryan Johnson,,,,,,
Ben Joyce,,,,,,
Michael Kopech,,,,,,
Justin Martinez,,,,,,
Dauri Moreta,,,,,,
Andrew Saalfrank,,,,,,
Justin Wilson,,,,,,
Justin Wrobleski,,,,,,
Craig Yoho,,,,,,
Adrian Morejon,,,,,32,
Ryan Helsley,,,,,10,
Pete Fairbanks,,,,,12,
Hunter Harvey,,,,,77,
Matt Brash,,,,,60,14
Ryan Walker,,,,,22,7
Andrew Kittredge,1ST:BAL,,,,,
Daniel Palencia,CLOSER:CHC,,,,9,
Gabe Speier,,,,,82,
Dylan Lee,2ND:ATL,,,,81,
Tyler Rogers,1ST:TOR,,,,100,
Will Vest,,,,,36,
Phil Maton,1ST:CHC,,,,62,
Luke Weaver,1ST:NYM,,,,61,
Emilio Pagán,,,,,16,5
JoJo Romero,1ST:STL,,,,42,
Bryan King,1ST:HOU,,,,98,
Fernando Cruz,2ND:NYY,,,,71,
Tanner Scott,CLOSER:LAD:*,,,,31,
Caleb Thielbar,,,,,,
Dennis Santana,1ST:PIT,,,,23,
Robert Garcia,,,,,25,
Jason Adam,1ST:SD,,,,,
Orion Kerkering,,,,,94,
José Alvarado,2ND:PHI,,,,66,
Robert Suarez,1ST:ATL,,,,19,6
Hunter Gaddis,,,,,69,
Kenley Jansen,CLOSER:DET:*,,,,18,
Camilo Doval,1ST:NYY,,,,64,
Jared Koenig,,,,,,
Reid Detmers,,,,,,
Bryan Baker,CLOSER:TB,,,,51,
Chris Martin,,,,,43,
Robert Stephenson,,,,,,
Brooks Raley,2ND:NYM,,,,,
Seranthony Domínguez,CLOSER:CHW,,,,24,
Shawn Armstrong,,,,,90,
Steven Matz,,,,,,
Eduard Bazardo,1ST:SEA,,,,97,
Carlos Estévez,,,,,27,
Steven Okert,,,,,70,
Yimi García,,,,,,
Lucas Erceg,CLOSER:KC,,,,55,
Matt Svanson,,,,,52,
Riley O'Brien,CLOSER:STL,,,,38,11
Ryan Thompson,,,,,,
Louis Varland,CLOSER:TOR,,,,65,
Clayton Beeter,,,,,39,
Gregory Soto,CLOSER:PIT:*,,,,75,
Jakob Junis,1ST:TEX,,,,,
Kirby Yates,2ND:LAA,,,,28,
Jordan Leasure,,,,,49,
Blake Treinen,2ND:LAD,,,,,
Andrew Nardi,,,,,85,
Kevin Ginkel,,,,,54,
A.J. Puk,,,,,,
Erik Miller,,,,,,
Tony Santillan,1ST:CIN,,,,76,
Angel Zerpa,,,,,89,
Justin Sterner,,,,,59,
Yennier Cano,,,,,,
Mark Leiter Jr.,,,,,47,
John Schreiber,,,,,,
Paul Sewald,,,,,26,8
Kyle Finnegan,,,,,35,
Taylor Rogers,,,,,40,
Drew Pomeranz,,,,,41,12
Jordan Romano,,,,,44,
Cole Henry,,,,,45,
Victor Vodnik,CLOSER:COL:*,,,,46,
Ryne Stanek,,,,,48,13
Hogan Harris,1ST:ATH,,,,50,
Jonathan Loáisiga,,,,,56,
Elvis Alvarado,,,,,57,
Scott Barlow,,,,,58,
Mason Montgomery,,,,,63,
Brad Keller,1ST:PHI,,,,68,
Graham Ashcraft,,,,,72,
Connor Phillips,,,,,73,
Gus Varland,,,,,74,
Justin Slaten,,,,,78,
Juan Mejia,,,,,79,
Calvin Faucher,,,,,83,
Isaac Mattson,,,,,84,
Nick Mears,,,,,86,
Anthony Bender,,,,,87,
Cole Sands,,,,,88,
Eric Orze,,,,,91,
Carter Baumler,,,,,92,
Griff McGarry,,,,,93,
Gregory Santos,,,,,95,
Zach Agnos,,,,,96,
Erik Sabrowski,,,,,99,
