# SP Rankings — add columns for any source. Run: python3 scripts/bake_manual.py
# Columns: Name | PL_Rank (PitcherList numerical rank) | PL_Tier (1-5) | add more freely
# Source: https://pitcherlist.com/top-100-starting-pitchers-for-2026-fantasy-baseball-3-13-update/
Name,PL_Rank,PL_Tier,Watch
Tarik Skubal,3,1,
Shohei Ohtani,9,2,
Paul Skenes,2,1,
Garrett Crochet,1,1,
Bryan Woo,4,2,
Cristopher Sánchez,7,2,
Logan Webb,12,3,
Logan Gilbert,11,2,
Zack Wheeler,46,7,
Max Fried,6,2,
Chris Sale,14,3,
Hunter Brown,8,2,
Jacob deGrom,10,2,
Yoshinobu Yamamoto,5,2,
George Kirby,16,3,
Cole Ragans,15,3,
Dylan Cease,27,5,
Nathan Eovaldi,35,6,
Framber Valdez,23,4,
Hunter Greene,67,10,
Jesús Luzardo,21,4,
Joe Ryan,18,3,
Sonny Gray,49,8,
Nick Pivetta,31,5,
Freddy Peralta,13,3,
Luis Castillo,73,11,
Ranger Suárez,50,8,
Kevin Gausman,29,5,
Tanner Bibee,59,9,
Shane McClanahan,57,9,
Tyler Glasnow,17,3,
Drew Rasmussen,33,6,
Carlos Rodón,62,10,
MacKenzie Gore,43,7,
Emmet Sheehan,45,7,
Aaron Nola,51,8,
Brandon Woodruff,64,10,
Blake Snell,60,10,★
Kyle Bradish,19,4,★
Joe Musgrove,100,15,
Matthew Boyd,52,8,★
Spencer Schwellenbach,66,10,
Shota Imanaga,32,6,★
Spencer Strider,77,12,★
Kade Anderson,,,
Jamie Arnold,,,
Tyler Bremner,,,
Alex Cobb,,,
Jose Corniell,,,
Kutter Crawford,,,
Coleman Crow,,,
Luis De León,,,
Liam Doyle,,,
Daniel Espino,,,
Bowden Francis,,,
Didier Fuentes,,,
Trey Gibson,,,
Lucas Giolito,,,
Sawyer Gipson-Long,,,
Yoendrys Gómez,,,
Emerson Hancock,,,
DJ Herz,,,
Brody Hopkins,,,
Tatsuya Imai,37,6,★
Jackson Jobe,,,
Ty Johnson,,,
George Klassen,,,
Carlos Lagrange,,,
Zack Littell,,,
Pablo López,,,
Quinn Mathews,,,
Tanner McDougal,,,
Troy Melton,,,
Cristian Mena,,,
Carmen Mlodzinski,,,
Keider Montero,,,
Andrew Morris,,,
Charlie Morton,,,
Tobias Myers,,,
Reese Olson,,,
Mitchell Parker,,,
Ethan Pecko,,,
Luis Perales,,,
Chase Petty,,,
Cade Povich,,,
Connor Prielipp,,,
JR Ritchie,,,
Bradgley Rodriguez,,,
Elmer Rodríguez,,,
Jonathan Santucci,,,
Max Scherzer,,,
Noah Schultz,,,
Christian Scott,,,
Hagen Smith,,,
Robby Snelling,,,
Khal Stephen,,,
Jarlin Susana,,,
Travis Sykora,,,
Kai-Wei Teng,,,
Blade Tidwell,,,
Ricky Tiedemann,,,
Payton Tolle,,,
Tyler Wells,,,
Jack Wenninger,,,
Joey Wentz,,,
Hayden Wesneski,,,
Josh White,,,
Thomas White,,,
Jordan Wicks,,,
Jaxon Wiggins,,,
Michael King,30,5,★
Jack Flaherty,79,12,★
Braxton Ashcraft,85,12,
Joey Cantillo,94,14,
Gerrit Cole,61,10,
Cody Ponce,87,13,
Kris Bubic,44,7,★
Edward Cabrera,48,8,★
Tyler Holton,,,
Zac Gallen,53,8,★
Merrill Kelly,74,11,
Ryan Pepiot,26,5,★
Nick Lodolo,47,8,★
Chase Burns,40,7,★
Quinn Priester,,,
Trey Yesavage,42,7,★
Gavin Williams,55,9,★
Shane Bieber,70,10,
Cole Sands,,,
Ryne Nelson,72,11,
Andrew Abbott,36,6,★
Eury Pérez,22,4,★
Nolan McLean,25,4,★
Reynaldo López,,,
Sandy Alcantara,24,4,★
Sean Manaea,,,
Robbie Ray,38,6,★
José Soriano,,,
Bailey Ober,,,
Bryce Miller,63,10,
Jacob Misiorowski,39,7,★
Justin Steele,69,10,
Zach Eflin,75,11,
Keegan Akin,,,
David Peterson,,,
Chris Bassitt,,,
Grayson Rodriguez,82,12,
Foster Griffin,,,
Cam Schlittler,20,4,★
Bubba Chandler,28,5,★
Cade Horton,41,7,★
Ryan Weathers,54,9,★
Shane Baz,56,9,★
Kodai Senga,58,9,★
Jared Jones,65,10,
Corbin Burnes,68,10,
Noah Cameron,71,11,
Will Warren,76,11,
Kyle Harrison,78,12,
Luis Gil,80,12,
Andrew Painter,81,12,
Mick Abel,83,12,
Parker Messick,84,12,
Mike Burrows,86,13,
Anthony Kay,88,13,
Brayan Bello,89,13,
Ryan Weiss,90,13,
Justin Wrobleski,91,13,
Landen Roupp,92,13,
Matthew Liberatore,93,14,
Spencer Arrighetti,95,14,
Jack Leiter,96,14,
Dustin May,97,14,
Slade Cecconi,98,14,
Logan Henderson,99,15,
Trevor Rogers,34,6,★
