"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"111306","Shohei Ohtani","[""u""]","LAD","66.94","50","701","600","45","30","0.375","188","36","0","0","0","0","0","0"
"68603","Aaron Judge","[""of"",""u""]","NYY","53.73","50","673","550","45","10","0.408","180","30","0","0","0","0","0","0"
"117798","Elly De La Cruz","[""ss"",""mi"",""u""]","CIN","53.61","50","654","594","29","54","0.337","143","40","0","0","0","0","0","0"
"141166","Bobby Witt Jr.","[""ss"",""mi"",""u""]","KC","44.62","50","675","615","27","27","0.339","158","42","0","0","0","0","0","0"
"137044","Tarik Skubal","[""sp"",""p""]","DET","43.48","50","0","0","0","0","0","0","0","192.3","14","219","2.41","0.99","0"
"70217","José Ramírez","[""3b"",""ci"",""u""]","CLE","42.02","50","644","582","26","39","0.345","144","36","0","0","0","0","0","0"
"107182","Juan Soto","[""of"",""u""]","NYM","41.61","50","666","546","34","18","0.397","159","29","0","0","0","0","0","0"
"122787","Corbin Carroll","[""of"",""u""]","AZ","35.4","50","601","540","23","27","0.351","136","42","0","0","0","0","0","0"
"105454","Ronald Acuña Jr.","[""of"",""u""]","ATL","31.98","50","689","583","25","20","0.37","154","30","0","0","0","0","0","0"
"123218","Gunnar Henderson","[""ss"",""mi"",""u""]","BAL","31.62","50","664","598","27","20","0.345","146","36","0","0","0","0","0","0"
"117185","Garrett Crochet","[""sp"",""p""]","BOS","30.85","50","0","0","0","0","0","0","0","193.7","13","225","3.09","1.12","0"
"119003","Jarren Duran","[""of"",""u""]","BOS","30.61","50","673","616","19","19","0.325","139","48","0","0","0","0","0","0"
"108651","Fernando Tatis Jr.","[""of"",""u""]","SD","30.57","50","683","604","28","26","0.342","146","32","0","0","0","0","0","0"
"107047","Kyle Tucker","[""of"",""u""]","LAD","28.75","50","633","542","26","16","0.368","154","30","0","0","0","0","0","0"
"56289","Freddie Freeman","[""1b"",""ci"",""u""]","LAD","28.39","50","665","588","21","6","0.356","156","38","0","0","0","0","0","0"
"121380","Logan Gilbert","[""sp"",""p""]","SEA","27.53","50","0","0","0","0","0","0","0","172.3","13","200","3.17","1.07","0"
"151691","Bryan Woo","[""sp"",""p""]","SEA","27.51","50","0","0","0","0","0","0","0","180.7","14","176","3.11","1.08","0"
"133509","Cal Raleigh","[""c"",""u""]","SEA","26.52","50","650","560","35","7","0.329","147","26","0","0","0","0","0","0"
