"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"111306","Shohei Ohtani","[""u""]","LAD","55.27","50","701","600","45","30","0.375","188","36","0","0","0","0","0","0"
"68603","Aaron Judge","[""of"",""u""]","NYY","47.13","50","673","550","45","10","0.408","180","30","0","0","0","0","0","0"
"117798","Elly De La Cruz","[""ss"",""mi"",""u""]","CIN","43.69","50","654","594","29","54","0.337","143","40","0","0","0","0","0","0"
"107182","Juan Soto","[""of"",""u""]","NYM","37.3","50","666","546","34","18","0.397","159","29","0","0","0","0","0","0"
"141166","Bobby Witt Jr.","[""ss"",""mi"",""u""]","KC","36.19","50","675","615","27","27","0.339","158","42","0","0","0","0","0","0"
"70217","José Ramírez","[""3b"",""ci"",""u""]","CLE","36.03","50","644","582","26","39","0.345","144","36","0","0","0","0","0","0"
"122787","Corbin Carroll","[""of"",""u""]","AZ","32.08","50","601","540","23","27","0.351","136","42","0","0","0","0","0","0"
"137044","Tarik Skubal","[""sp"",""p""]","DET","31.77","50","0","0","0","0","0","0","0","192.3","14","219","2.41","0.99","0"
"105454","Ronald Acuña Jr.","[""of"",""u""]","ATL","29.43","50","689","583","25","20","0.37","154","30","0","0","0","0","0","0"
"108651","Fernando Tatis Jr.","[""of"",""u""]","SD","28.33","50","683","604","28","26","0.342","146","32","0","0","0","0","0","0"
"119003","Jarren Duran","[""of"",""u""]","BOS","28.04","50","673","616","19","19","0.325","139","48","0","0","0","0","0","0"
"107047","Kyle Tucker","[""of"",""u""]","LAD","26.76","50","633","542","26","16","0.368","154","30","0","0","0","0","0","0"
"123218","Gunnar Henderson","[""ss"",""mi"",""u""]","BAL","25.76","50","664","598","27","20","0.345","146","36","0","0","0","0","0","0"
"110715","Brent Rooker","[""of"",""u""]","SAC","24.69","50","656","598","35","7","0.336","155","34","0","0","0","0","0","0"
"134822","Julio Rodríguez","[""of"",""u""]","SEA","22.82","50","676","617","29","24","0.324","147","29","0","0","0","0","0","0"
"117185","Garrett Crochet","[""sp"",""p""]","BOS","22.34","50","0","0","0","0","0","0","0","193.7","13","225","3.09","1.12","0"
"56289","Freddie Freeman","[""1b"",""ci"",""u""]","LAD","22.23","50","665","588","21","6","0.356","156","38","0","0","0","0","0","0"
"151225","James Wood","[""of"",""u""]","WAS","21.94","50","657","577","26","21","0.326","131","36","0","0","0","0","0","0"
"133509","Cal Raleigh","[""c"",""u""]","SEA","21.51","50","650","560","35","7","0.329","147","26","0","0","0","0","0","0"
"151691","Bryan Woo","[""sp"",""p""]","SEA","20.73","50","0","0","0","0","0","0","0","180.7","14","176","3.11","1.08","0"
"121380","Logan Gilbert","[""sp"",""p""]","SEA","20.7","50","0","0","0","0","0","0","0","172.3","13","200","3.17","1.07","0"
"103751","Kyle Schwarber","[""u""]","PHI","20.51","50","642","551","45","4","0.356","152","24","0","0","0","0","0","0"
"107184","Vladimir Guerrero Jr.","[""1b"",""ci"",""u""]","TOR","20.5","50","670","589","28","4","0.363","155","31","0","0","0","0","0","0"
"109864","Maikel Garcia","[""3b"",""ci"",""u""]","KC","20.18","50","649","591","13","35","0.325","129","34","0","0","0","0","0","0"
"66018","Bryce Harper","[""1b"",""ci"",""u""]","PHI","20.03","50","660","581","29","5","0.354","148","34","0","0","0","0","0","0"
"161332","Paul Skenes","[""sp"",""p""]","PIT","19.63","50","0","0","0","0","0","0","0","177.7","13","199","3.02","1.11","0"
"104042","Rafael Devers","[""1b"",""ci"",""u""]","SF","19.27","50","655","559","28","2","0.353","151","34","0","0","0","0","0","0"
"70430","Mookie Betts","[""ss"",""mi"",""u""]","LAD","19.11","50","662","592","26","12","0.349","152","30","0","0","0","0","0","0"
"70917","Trea Turner","[""ss"",""mi"",""u""]","PHI","18.97","50","680","634","21","23","0.323","145","34","0","0","0","0","0","0"
"153974","Nick Kurtz","[""1b"",""ci"",""u""]","SAC","18.25","50","645","580","36","5","0.334","144","33","0","0","0","0","0","0"
"65751","Chris Sale","[""sp"",""p""]","ATL","18.07","50","0","0","0","0","0","0","0","165","11","185","2.91","1.07","0"
