Name,Team,POS,ADP,PA,mSB,mHR,mOBP,m2B,mRBIR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Shohei Ohtani ","LAD","DH",1.2400000095367432,658.176,3.4691088689216905,9.048193180770921,6.446669080700629,-0.17596675792048128,9.352172831023498,28.14017720349626,10.734127022810306,39.87430422630656,"Shohei Ohtani","19755",660271
"Aaron Judge ","NYY","OF/DH",1.8799999952316284,633.319,-1.0598352530514301,8.497033775817098,11.511772271539606,-1.75466642866224,8.307637627668072,25.50194199331111,11.481534371855295,37.9834763651664,"Aaron Judge","15640",592450
"Bobby Witt Jr. ","KCR","SS",3.0799999237060547,633.655,6.466059932292523,2.4224091434242365,1.8258866038179151,9.04700280681917,5.223072914360789,24.984431400714634,10.734127022810306,36.71855842352494,"Bobby Witt Jr.","25764",677951
"Ronald Acuña Jr. ","ATL","OF",5.480000019073486,676.219,4.09648230577692,3.6273357221527363,7.915293210943758,1.368164554484169,5.98731223153497,22.994588024892554,11.481534371855295,35.476122396747854,"Ronald Acuna Jr.","18401",660670
"Juan Soto ","NYM","OF",4.630000114440918,621.171,2.5853122261697177,5.084077003440354,10.964942927168874,-2.297993607843014,6.028436812549495,22.36477536148543,11.481534371855295,34.84630973334073,"Juan Soto","20123",665742
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.34000015258789,636.639,-2.408083586625788,4.2047412751815605,6.727574008745501,4.799820230178344,5.896795710823515,19.220847638303134,12.02022694533313,32.24107458363626,"Vladimir Guerrero Jr.","19611",665489
"Gunnar Henderson ","BAL","SS",12.25,665.535,3.8999080287410908,2.490800035279129,2.886435679666704,5.138771940142391,4.837924270875604,19.25383995470492,10.734127022810306,30.98796697751522,"Gunnar Henderson","26289",683002
"José Ramírez ","CLE","3B/DH",5.949999809265137,603.88,5.987167288377447,1.9639782028947619,1.4280735077549165,4.477907004842691,3.023807749479722,16.880933753349538,11.582806534683135,29.463740288032675,"Jose Ramirez","13510",608070
"Freddie Freeman ","LAD","1B",66.94000244140625,658.412,-1.5976029707293646,0.7973387810133324,3.726582110845152,6.805295242008915,4.644635467673172,14.376248630811205,12.02022694533313,27.396475576144336,"Freddie Freeman","5361",518692
"Bryce Harper ","PHI","1B",47.650001525878906,598.364,-0.9356366185370322,1.9333229219145733,4.169171036064861,5.575673350138708,2.9018758607631514,13.644406550344264,12.02022694533313,26.664633495677396,"Bryce Harper","11579",547180
"Elly De La Cruz ","CIN","SS",8.5,616.808,8.599667071589629,0.47094244698281257,0.4306871540215485,3.1185631055681107,2.290034794402167,14.90989457256427,10.734127022810306,26.644021595374568,"Elly De La Cruz","26668",682829
