Name,Team,POS,ADP,PA,mSB,mHR,mOBP,m2B,mRBIR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Judge ","NYY","OF/DH",1.8799999952316284,633.319,-0.7280911411862414,6.973355647375386,9.327152249056022,-0.8839894195447283,6.606806708579501,21.29523404427994,10.758199805967266,33.05343385024721,"Aaron Judge","15640",592450
"Shohei Ohtani ","LAD","DH",1.2400000095367432,658.176,2.8969131713027134,7.407210314398906,5.359324572814819,0.298093823143918,7.378321571788237,23.339863453448597,7.757335263785588,32.09719871723418,"Shohei Ohtani","19755",660271
"Ronald Acuña Jr. ","ATL","OF",5.480000019073486,676.219,3.3990680561703184,3.1400885224958834,6.521066040917438,1.4542933098054587,4.892967361809067,19.407483291198165,10.758199805967266,31.165683097165434,"Ronald Acuna Jr.","18401",660670
"Juan Soto ","NYM","OF",4.630000114440918,621.171,2.1895150327839765,4.286787640485911,8.892006453220043,-1.2908166113849078,4.923342810519665,19.00083532562469,10.758199805967266,30.75903513159195,"Juan Soto","20123",665742
"Bobby Witt Jr. ","KCR","SS",3.0799999237060547,633.655,5.295697575890275,2.1916097069237517,1.7194513471398247,7.203978439680034,4.328484718855246,20.73922178848913,7.8750535419736565,29.61427533046278,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson ","BAL","SS",12.25,665.535,3.2417283799040475,2.245444781398498,2.566703984724396,4.2776116951512995,4.04400612776616,16.3754949689444,7.8750535419736565,25.25054851091806,"Gunnar Henderson","26289",683002
"Vladimir Guerrero Jr. ","TOR","1B/DH",18.34000015258789,636.639,-1.807240252300424,3.5946032993376953,5.571407555652781,4.0238147609688095,4.826110025770516,16.20869538942938,7.757335263785588,24.966030653214965,"Vladimir Guerrero Jr.","19611",665489
"Corbin Carroll ","ARI","OF",14.899999618530273,607.366,5.607044679531432,1.7330232574869506,1.4059162255996411,0.21982305647382303,3.190571819399616,12.156379038491462,10.758199805967266,23.914578844458724,"Corbin Carroll","25878",682998
"José Ramírez ","CLE","3B/DH",5.949999809265137,603.88,4.9123879450673025,1.8307478559437098,1.394354121949187,3.78277573605387,2.7040629115362322,14.6243285705503,7.8707052177417935,23.495033788292098,"Jose Ramirez","13510",608070
"Fernando Tatis Jr. ","SDP","OF",14.170000076293945,579.399,2.593604175965944,2.3728411527840345,2.5311288383506145,0.9594573507080301,2.4951204607530615,10.952151978561686,10.758199805967266,22.71035178452895,"Fernando Tatis Jr.","19709",665487
"Elly De La Cruz ","CIN","SS",8.5,616.808,7.003454367055898,0.6554789139401535,0.6166978945294836,2.764939554692956,2.16208334086752,13.202654071086013,7.8750535419736565,22.077707613059673,"Elly De La Cruz","26668",682829
"Julio Rodríguez ","SEA","OF",9.600000381469727,617.685,2.979844073355197,2.8127371226415843,-0.1914085644748023,1.1935937272106363,3.2835124450630397,10.078278803795655,10.758199805967266,21.83647860976292,"Julio Rodriguez","23697",677594
"Freddie Freeman ","LAD","1B",66.94000244140625,658.412,-1.1585248677234894,0.9124074386931209,3.224309890051405,5.525454654262686,3.901239101740173,12.404886217023897,7.757335263785588,21.16222148080949,"Freddie Freeman","5361",518692
"Kyle Tucker ","LAD","OF",13.149999618530273,562.259,1.7611239045727867,1.823572137761921,3.639141040291564,-0.6248309425474143,2.521521633832407,9.120527773911263,10.758199805967266,20.87872757987853,"Kyle Tucker","18345",663656
"Bryce Harper ","PHI","1B",47.650001525878906,598.364,-0.628681527467319,1.806617020830253,3.5448066766240696,4.604750444233972,2.6140015482219527,11.94149416244293,7.757335263785588,20.698829426228517,"Bryce Harper","11579",547180
"Yordan Alvarez ","HOU","DH",33.06999969482422,550.801,-2.0261130268873724,2.9047877345693975,6.191947981089057,1.6659337764533606,2.9913636338466993,11.727920099071143,7.757335263785588,20.485255362856734,"Yordan Alvarez","19556",670541
"Ketel Marte ","ARI","2B/DH",32.27000045776367,601.272,-1.5208936036149832,1.4776302040127691,3.1641899384933483,3.598191018019433,2.596942046982085,9.316059603892652,8.372219794769547,18.6882793986622,"Ketel Marte","13613",606466
"Jackson Chourio ","MIL","OF",19.1200008392334,594.109,2.7672349037825974,0.945516197291121,-1.8371804549864184,3.7765513621875035,1.2626723912091578,6.914794399483961,10.758199805967266,18.67299420545123,"Jackson Chourio","28806",694192
