Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",6.840000152587891,199.765,7.961665698751902,15.115784061355662,17.650816738393335,9.28452362590979,-4.7941748572060945,45.2186152672046,9.543075301912923,55.76169056911752,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.930000305175781,193.982,7.389312793540074,11.353337495191136,9.618339149802903,8.810685008488022,-4.7941748572060945,32.37749958981604,9.543075301912923,42.92057489172896,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",11.84000015258789,192.855,7.461027210847638,8.652661199619592,10.128446508846611,8.947240620101905,-4.7941748572060945,30.395200682209655,9.543075301912923,40.93827598412257,"Garrett Crochet","27463",676979
"Chris Sale ","ATL","SP",39.400001525878906,168.535,5.4666402836370995,3.6880936957662245,7.289276382850633,6.306459679143096,-4.7941748572060945,17.956295184190957,9.543075301912923,28.49937048610388,"Chris Sale","10603",519242
"Mason Miller ","SDP","RP",29.010000228881836,66,-3.4067716744415275,8.581287611704932,6.34614031075159,-1.7624979938926528,6.625661592543019,16.38381984666536,9.570001239713715,26.953821086379072,"Mason Miller","31757",695243
"Zack Wheeler ","PHI","SP",113.27999877929688,154.827,4.212999331848332,3.179845983127103,7.006447683453313,4.085682286778288,-4.7941748572060945,13.690800428000939,9.543075301912923,24.233875729913866,"Zack Wheeler","10310",554430
"Cristopher Sánchez ","PHI","SP",25.530000686645508,198.055,7.383752680726941,5.457140202151772,-1.5655248987139727,5.168917442162021,-4.7941748572060945,11.650110569120669,9.543075301912923,22.19318587103359,"Cristopher Sanchez","20778",650911
"Logan Gilbert ","SEA","SP",36.209999084472656,166.486,4.724871671662507,-0.993412980801058,6.351309330973651,4.403198080812194,-4.7941748572060945,9.691791245441202,9.543075301912923,20.234866547354123,"Logan Gilbert","22250",669302
"Jacob deGrom ","TEX","SP",49.58000183105469,174.797,4.944213685304731,-3.9715062295930816,6.592296251458518,6.0842477760703,-4.7941748572060945,8.855076626034371,9.543075301912923,19.398151927947296,"Jacob deGrom","10954",594798
"Edwin Díaz ","LAD","RP",33.040000915527344,66,-3.5895752628056266,2.8731680650362645,2.78013275306118,-2.869952770909122,8.370077212841945,7.56384999722464,9.570001239713715,18.133851236938355,"Edwin Diaz","14710",621242
