Name,Team,POS,ADP,IP,mW,mERA,mWHIP,mSO,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Tarik Skubal ","DET","SP",6.840000152587891,199.765,4.437604262051337,8.683999995116324,10.993250589371758,5.187654425802302,-2.20665146036781,27.095857811973914,5.374425610555225,33.470283422529135,"Tarik Skubal","22267",669373
"Paul Skenes ","PIT","SP",9.930000305175781,193.982,4.118879458563398,6.994371730782171,6.698928083216055,4.926428182807684,-2.20665146036781,20.531955995001496,5.374425610555225,26.906381605556717,"Paul Skenes","33677",694973
"Garrett Crochet ","BOS","SP",11.84000015258789,192.855,4.1588148958704645,5.81404746420926,6.959212210896703,5.001711007107282,-2.20665146036781,19.727134117715895,5.374425610555225,26.10155972827112,"Garrett Crochet","27463",676979
"Chris Sale ","ATL","SP",39.400001525878906,168.535,3.0482053826387,3.405339114064213,5.255941905829122,3.5458539739004933,-2.20665146036781,13.048688916064718,5.374425610555225,19.42311452661994,"Chris Sale","10603",519242
"Zack Wheeler ","PHI","SP",113.27999877929688,154.827,2.3500933221164777,3.0382727049426803,4.992348764134203,2.3215440223575015,-2.20665146036781,10.49560735318305,5.374425610555225,16.870032963738275,"Zack Wheeler","10310",554430
"Cristopher Sánchez ","PHI","SP",25.530000686645508,198.055,4.115783211741551,4.487605705785383,0.8207278185081962,2.9187293076351484,-2.20665146036781,10.136194583302467,5.374425610555225,16.51062019385769,"Cristopher Sanchez","20778",650911
"Mason Miller ","SDP","RP",29.010000228881836,66,-1.8931104678669233,4.420808778584289,3.9040297554526093,-0.9025455872807542,4.264583694809911,9.793766173699135,5.227574389444771,16.021340563143905,"Mason Miller","31757",695243
"Jacob deGrom ","TEX","SP",49.58000183105469,174.797,2.757282923131428,0.1592840928823366,4.9396149894476675,3.423349014502637,-2.20665146036781,9.07287955959626,5.374425610555225,15.447305170151482,"Jacob deGrom","10954",594798
"Logan Gilbert ","SEA","SP",36.209999084472656,166.486,2.6351384567398526,1.3582616022174003,4.743056241738552,2.4965898183676267,-2.20665146036781,9.02639465869562,5.374425610555225,15.400820269250847,"Logan Gilbert","22250",669302
"Cole Ragans ","KCR","SP",47.25,172.018,3.0076377999606474,2.2684743375120715,0.8283371134291212,3.7699104948985447,-2.20665146036781,7.6677082854325755,5.374425610555225,14.0421338959878,"Cole Ragans","21846",666142
"Bryan Woo ","SEA","SP",35.029998779296875,195.095,3.3783672566661127,-0.6418827629757969,3.7581808580842933,3.1058803607068004,-2.20665146036781,7.3938942521136,5.374425610555225,13.768319862668823,"Bryan Woo","30279",693433
"George Kirby ","SEA","SP",65.08999633789062,178.218,2.9304841259926184,0.2785567986641143,4.00213690538124,2.143766256151244,-2.20665146036781,7.148292625821408,5.374425610555225,13.522718236376631,"George Kirby","25436",669923
"Edwin Díaz ","LAD","RP",33.040000915527344,66,-1.994907868120661,1.9516521164504967,2.0189389272957,-1.5130830995260875,5.253085039552688,5.7156851156521356,5.227574389444771,11.943259505096908,"Edwin Diaz","14710",621242
"Logan Webb ","SFG","SP",58.7599983215332,199.392,3.525281697632454,2.579516846294183,-1.0802955012774518,2.74317719275776,-2.20665146036781,5.561028775039137,5.374425610555225,11.93545438559436,"Logan Webb","17995",657277
"Max Fried ","NYY","SP",50.400001525878906,189.434,3.6593055555380514,2.8211058760160084,-1.3326002571813007,2.3994626633366067,-2.20665146036781,5.340622377341556,5.374425610555225,11.715047987896781,"Max Fried","13743",608331
"Cade Smith ","CLE","RP",40.279998779296875,70,-2.016897668559073,2.24668420321147,1.963325943224917,-1.623664014259133,4.19310300084443,4.762551464462612,5.227574389444771,10.990125853907381,"Cade Smith","27867",671922
"Jhoan Duran ","PHI","RP",41.810001373291016,70,-1.8878026161723303,3.0809420246145978,1.264096520629903,-1.8355930889225904,3.8965891934198393,4.5182320335694195,5.227574389444771,10.74580642301419,"Jhoan Duran","21029",661395
